taxon_name	NCBI_ID
Pseudopropionibacterium propionicum	1750
Actinomyces viscosus	1656
Campylobacter showae	204
Actinomyces johnsonii	544581
Prevotella loescheii	840
Streptococcus sp oral taxon 056	712620
Eubacterium brachy	35517
Abiotrophia defectiva	46125
Capnocytophaga ochracea	1018
Streptococcus anginosus group	671232
Actinomyces meyeri	52773
Actinomyces sp oral taxon 448	712124
Eikenella sp NML130454	1795832
Selenomonas noxia	135083
Oribacterium sp oral taxon 078	652706
Abiotrophia sp HMSC24B09	1581061
Leptotrichia sp oral taxon 879	1227267
Actinomyces sp oral taxon 180	651609
Aggregatibacter segnis	739
Selenomonas infelix	135082
Kingella denitrificans	502
Capnocytophaga sp oral taxon 338	710239
Escherichia coli	562
Haemophilus sp HMSC71H05	1608898
Porphyromonas uenonis	281920
Lactobacillus paragasseri	2107999
Prevotella shahii	228603
Tannerella sp oral taxon HOT 286	712710
Mogibacterium diversum	114527
Alloprevotella tannerae	76122
Prevotella jejuni	1177574
Treponema sp OMZ 838	1539298
Neisseria sp oral taxon 014	641148
Treponema socranskii	53419
Peptostreptococcus stomatis	341694
Campylobacter mucosalis	202
Streptococcus peroris	68891
Neisseria elongata	495
Alloprevotella rava	671218
Treponema denticola	158
Mogibacterium pumilum	86332
Porphyromonas endodontalis	28124
Bacteroidetes oral taxon 274	652708
Prevotella oulorum	28136
Capnocytophaga sp oral taxon 332	712213
Prevotella denticola	28129
Prevotella scopos	589437
Leptotrichia buccalis	40542
Selenomonas sputigena	69823
Porphyromonas catoniae	41976
Prevotella veroralis	28137
Slackia exigua	84109
Parvimonas sp oral taxon 110	671230
Leptotrichia goodfellowii	157692
Treponema medium	58231
Fusobacterium hwasookii	1583098
Porphyromonas canoris	36875
Olsenella uli	133926
Prevotella sp oral taxon 306	712461
Selenomonas flueggei	135080
Porphyromonas sp oral taxon 278	712437
Aggregatibacter aphrophilus	732
Eubacterium yurii	39498
Prevotella buccae	28126
Anaeroglobus geminatus	156456
Parvimonas sp oral taxon 393	713008
Tannerella forsythia	28112
Eubacterium infirmum	56774
Actinomyces sp oral taxon 414	712122
Ottowia sp oral taxon 894	1658672
Treponema maltophilum	51160
Selenomonas sp oral taxon 892	1321785
Prevotella saccharolytica	633701
Johnsonella ignava	43995
Catonella morbi	43997
Actinomyces hongkongensis	178339
Prevotella micans	189723
Actinomyces georgiae	52768
Selenomonas artemidis	671224
Prevotella maculosa	439703
Prevotella enoeca	76123
Centipeda periodontii	82203
Campylobacter curvus	200
Selenomonas sp FOBRC6	936572
Selenomonas sp oral taxon 920	1884263
Selenomonas sp oral taxon 138	712532
Treponema vincentii	69710
Neisseria mucosa	488
Campylobacter rectus	203
Selenomonas sp oral taxon 126	712528
Neisseria cinerea	483
Fusobacterium sp oral taxon 370	712288
Tannerella sp oral taxon 808	712711
Prevotella sp F0091	1227276
Streptococcus sp SK643	1095727
Neisseria meningitidis	487
Neisseria macacae	496
Streptococcus sp oral taxon 058	712622
Neisseria bacilliformis	267212
Neisseria sp HMSC064E01	1715052
Neisseria lactamica	486
Streptococcus milleri	33040
Filifactor alocis	143361
Prevotella fusca	589436
Prevotella oralis	28134
Actinomyces sp oral taxon 897	2081702
Veillonella rodentium	248315
Shuttleworthia satelles	177972
Peptoanaerobacter stomatis	796937
Streptococcus sp NLAE zl C503	1855327
Treponema lecithinolyticum	53418
Prevotella marshii	189722
Cloacibacterium normanense	237258
Mogibacterium timidum	35519
Scardovia wiggsiae	230143
Prevotella intermedia	28131
Streptococcus viridans	78535
Dialister pneumosintes	39950
Prevotella dentalis	52227
Pseudoramibacter alactolyticus	113287
Prevotella multiformis	282402
Eubacterium nodatum	35518
Leptotrichia sp oral taxon 847	1785996
Streptococcus sp HMSC070B10	1715092
Desulfobulbus oralis	1986146
Prevotella sp oral taxon 376	712466
Eggerthia catenaformis	31973
Prevotella baroniae	305719
Propionibacterium acidifaciens	556499
Corynebacterium kroppenstedtii	161879
Actinomyces cardiffensis	181487
