"NCBI","name","oralcavity_genus_prevalence","nasalcavity_genus_prevalence","stool_genus_prevalence"
"   1380","Atopobium",0.0123456790123457,0,0.0106666666666667
" 162289","Peptoniphilus",0.0123456790123457,0,0.0278518518518519
" 419014","Alloscardovia",0.0123456790123457,0,0.00503703703703704
"1913599","Peptoanaerobacter",0.0123456790123457,0,0
" 212791","Enhydrobacter",0.0123456790123457,0,0.00474074074074074
" 186829","Agitococcus",0.0123456790123457,0,0.000296296296296296
"  82202","Centipeda",0.0123456790123457,0,0
"2755140","Pseudoleptotrichia",0.0123456790123457,0,0
" 184869","Varibaculum",0.0123456790123457,0,0.0462222222222222
" 909928","Negativicoccus",0.0123456790123457,0,0.0257777777777778
"1847725","Lawsonella",0.0123456790123457,0,0.00622222222222222
" 203133","Propionimicrobium",0.0123456790123457,0,0.00474074074074074
"1866885","Mycolicibacterium",0.0123456790123457,0,0.00118518518518519
"  48736","Ralstonia",0.0123456790123457,0,0.016
"    407","Methylobacterium",0.0123456790123457,0,0.00296296296296296
" 378210","Methyloversatilis",0.0123456790123457,0,0
"    171","Leptospira",0.0123456790123457,0,0
"   1485","Clostridium",0,0,0.503111111111111
" 375288","Parabacteroides",0,0,0.414518518518519
" 946234","Flavonifractor",0,0,0.365037037037037
" 207244","Anaerostipes",0,0,0.362962962962963
"1505663","Erysipelatoclostridium",0,0,0.36237037037037
"  84111","Eggerthella",0,0,0.350222222222222
" 644652","Gordonibacter",0,0,0.328888888888889
"1505657","Intestinibacter",0,0,0.300148148148148
"1407607","Fusicatenibacter",0,0,0.291259259259259
" 239759","Alistipes",0,0,0.275259259259259
"2719313","Enterocloster",0,0,0.273481481481481
" 240233","Aeriscardovia",0,0,0.265777777777778
"2569097","Anaerobutyricum",0,0,0.231407407407407
"2048137","Agathobaculum",0,0,0.219555555555556
"1649459","Hungatella",0,0,0.178074074074074
"  35832","Bilophila",0,0,0.165333333333333
" 283168","Odoribacter",0,0,0.162666666666667
"1506553","Lachnoclostridium",0,0,0.161185185185185
" 459786","Oscillibacter",0,0,0.157333333333333
"    544","Citrobacter",0,0,0.14962962962963
"2759736","Lacticaseibacillus",0,0,0.145185185185185
" 244127","Anaerotruncus",0,0,0.132444444444444
"1769710","Sellimonas",0,0,0.122666666666667
" 577310","Parasutterella",0,0,0.12237037037037
" 397864","Barnesiella",0,0,0.117037037037037
"1472762","Enorma",0,0,0.109037037037037
" 447020","Adlercreutzia",0,0,0.106962962962963
"1392389","Intestinimonas",0,0,0.101037037037037
"   1357","Lactococcus",0,0,0.0980740740740741
"1432051","Eisenbergiella",0,0,0.096
" 100883","Coprobacillus",0,0,0.0888888888888889
"2172004","Lawsonibacter",0,0,0.0865185185185185
"1918598","Turicimonas",0,0,0.0785185185185185
"1506577","Tyzzerella",0,0,0.0764444444444444
"1870884","Clostridioides",0,0,0.0675555555555555
" 191303","Turicibacter",0,0,0.0657777777777778
"2847313","Tractidigestivibacter",0,0,0.0613333333333333
"1924093","Anaeromassilibacillus",0,0,0.0601481481481481
" 135858","Catenibacterium",0,0,0.0595555555555556
"1348911","Coprobacter",0,0,0.0533333333333333
"    872","Desulfovibrio",0,0,0.050962962962963
" 577309","Paraprevotella",0,0,0.0482962962962963
"  61170","Holdemania",0,0,0.0482962962962963
" 574697","Butyricimonas",0,0,0.0471111111111111
"1501226","Romboutsia",0,0,0.0408888888888889
"   2172","Methanobrevibacter",0,0,0.0373333333333333
"2767842","Lactiplantibacillus",0,0,0.0337777777777778
"    583","Proteus",0,0,0.0334814814814815
"1472649","Dielma",0,0,0.0322962962962963
"   1243","Leuconostoc",0,0,0.0299259259259259
"2039302","Monoglobus",0,0,0.0296296296296296
" 160674","Raoultella",0,0,0.0287407407407407
"2719231","Lacrimispora",0,0,0.0278518518518519
"  46255","Weissella",0,0,0.0248888888888889
" 209879","Allisonella",0,0,0.0237037037037037
"1017280","Pseudoflavonifractor",0,0,0.021037037037037
" 990721","Christensenella",0,0,0.0207407407407407
"   1266","Sarcina",0,0,0.0201481481481481
"  52225","Mitsuokella",0,0,0.0198518518518519
"2039240","Anaerotignum",0,0,0.0186666666666667
"  79603","Denitrobacterium",0,0,0.0186666666666667
"    904","Acidaminococcus",0,0,0.0174814814814815
"  29393","Dolosigranulum",0,0,0.0171851851851852
" 580596","Butyricicoccus",0,0,0.0168888888888889
"  12967","Blastocystis",0,0,0.0162962962962963
" 172900","Victivallis",0,0,0.016
" 588605","Robinsoniella",0,0,0.0145185185185185
"2767893","Lentilactobacillus",0,0,0.0145185185185185
"    613","Serratia",0,0,0.0142222222222222
"  36739","Dermabacter",0,0,0.0115555555555556
"2749846","Amedibacillus",0,0,0.010962962962963
"    581","Morganella",0,0,0.010962962962963
"   1647","Erysipelothrix",0,0,0.0106666666666667
" 519427","Sharpea",0,0,0.0106666666666667
"    579","Kluyvera",0,0,0.0103703703703704
"1470349","Candidatus Stoquefichus",0,0,0.0103703703703704
"    286","Pseudomonas",0,0,0.0103703703703704
"2767886","Levilactobacillus",0,0,0.0100740740740741
" 156973","Dysgonomonas",0,0,0.00977777777777778
"    547","Enterobacter",0,0,0.00918518518518519
"1653174","Actinotignum",0,0,0.00918518518518519
"   1253","Pediococcus",0,0,0.00888888888888889
"1903434","Atlantibacter",0,0,0.00859259259259259
"1505652","Terrisporobacter",0,0,0.0082962962962963
"    222","Achromobacter",0,0,0.0082962962962963
"  68287","Mesorhizobium",0,0,0.0082962962962963
"1573536","Faecalicoccus",0,0,0.008
"   2316","Methanosphaera",0,0,0.00740740740740741
"    642","Aeromonas",0,0,0.00740740740740741
"2767885","Latilactobacillus",0,0,0.00681481481481482
"1924110","Massilimicrobiota",0,0,0.00681481481481482
