"NCBI","name","skin_genus_prevalence","vagina_genus_prevalence","oralcavity_genus_prevalence","nasalcavity_genus_prevalence","stool_genus_prevalence"
"    265","Paracoccus",0.234806629834254,0,0.00303030303030303,0,0.000208008320332813
"   2053","Gordonia",0.229281767955801,0,0,0,0.000208008320332813
"1866885","Mycolicibacterium",0.204419889502762,0,0,0,0.000416016640665627
"    286","Pseudomonas",0.201657458563536,0.0947368421052632,0.00303030303030303,0,0.0078003120124805
"  47670","Lautropia",0.198895027624309,0,0.822727272727273,0.0217391304347826,0.00634425377015081
"  57495","Dermacoccus",0.196132596685083,0,0,0,0
" 125216","Roseomonas",0.187845303867403,0,0,0,0
"  46123","Abiotrophia",0.176795580110497,0,0.601515151515152,0.0326086956521739,0.0046801872074883
"  53457","Janibacter",0.171270718232044,0,0,0,0
"  40323","Stenotrophomonas",0.168508287292818,0.0210526315789474,0.00606060606060606,0,0.00977639105564223
"   2701","Gardnerella",0.165745856353591,0.284210526315789,0,0.0108695652173913,0.0182007280291212
"  37914","Dietzia",0.160220994475138,0,0,0,0
" 216851","Faecalibacterium",0.157458563535912,0.0421052631578947,0.0212121212121212,0.0217391304347826,0.98408736349454
"   1016","Capnocytophaga",0.154696132596685,0.0105263157894737,0.886363636363636,0.0326086956521739,0.000104004160166407
"  57499","Kytococcus",0.149171270718232,0,0,0,0.000208008320332813
"1847725","Lawsonella",0.146408839779006,0.0421052631578947,0.00303030303030303,0.0652173913043478,0.0108164326573063
"  66831","Facklamia",0.146408839779006,0.0210526315789474,0,0,0.00260010400416017
" 909656","Phocaeicola",0.140883977900552,0.0947368421052632,0.122727272727273,0.119565217391304,0.949453978159126
" 102106","Collinsella",0.140883977900552,0.0315789473684211,0.0121212121212121,0,0.901092043681747
"  13687","Sphingomonas",0.138121546961326,0,0.00303030303030303,0,0
"  76833","Actinobaculum",0.132596685082873,0,0.446969696969697,0.0217391304347826,0.024544981799272
"    816","Bacteroides",0.129834254143646,0.0947368421052632,0.146969696969697,0.108695652173913,0.984191367654706
"  41275","Brevundimonas",0.129834254143646,0,0.00303030303030303,0,0.000208008320332813
"   1678","Bifidobacterium",0.129834254143646,0.136842105263158,0.128787878787879,0,0.886427457098284
"   1357","Lactococcus",0.129834254143646,0,0.0348484848484849,0.0217391304347826,0.208008320332813
"    570","Klebsiella",0.124309392265193,0,0.0257575757575758,0.119565217391304,0.189079563182527
"1283313","Alloprevotella",0.124309392265193,0,0.775757575757576,0.0217391304347826,0.00197607904316173
"    194","Campylobacter",0.124309392265193,0.0631578947368421,0.933333333333333,0.0652173913043478,0.0614664586583463
"   1375","Aerococcus",0.121546961325967,0.0842105263157895,0,0,0.00239209568382735
" 572511","Blautia",0.11878453038674,0.0105263157894737,0.00606060606060606,0,0.967966718668747
"  29393","Dolosigranulum",0.116022099447514,0,0.00151515151515152,0.41304347826087,0
"1407607","Fusicatenibacter",0.116022099447514,0.0105263157894737,0.00303030303030303,0,0.924388975559022
"   1651","Alloiococcus",0.116022099447514,0,0,0,0
"   1263","Ruminococcus",0.110497237569061,0.0526315789473684,0.0121212121212121,0.0108695652173913,0.889027561102444
" 184869","Varibaculum",0.110497237569061,0.0210526315789474,0,0,0.0130005200208008
"1582879","Ezakiella",0.107734806629834,0.0421052631578947,0,0,0.0192407696307852
"    848","Fusobacterium",0.104972375690608,0.0631578947368421,0.953030303030303,0.0760869565217391,0.0910036401456058
"    841","Roseburia",0.104972375690608,0.0105263157894737,0.0106060606060606,0,0.970358814352574
"2767353","Lancefieldella",0.0911602209944751,0.0105263157894737,0.733333333333333,0.0108695652173913,0.0253770150806032
"    561","Escherichia",0.0883977900552486,0.0315789473684211,0.0318181818181818,0.0326086956521739,0.622048881955278
"2316020","Mediterraneibacter",0.0883977900552486,0,0.00606060606060606,0,0.964742589703588
"   1827","Rhodococcus",0.0883977900552486,0,0,0,0.00457618304732189
"  39948","Dialister",0.0883977900552486,0.126315789473684,0.389393939393939,0,0.43879355174207
"2782229","Epilithonimonas",0.0856353591160221,0,0,0,0.00062402496099844
" 416916","Aggregatibacter",0.0856353591160221,0,0.815151515151515,0,0.0191367654706188
" 212742","Morococcus",0.0856353591160221,0,0.157575757575758,0.0108695652173913,0.000520020800832033
"   1380","Atopobium",0.0856353591160221,0.0526315789473684,0.0818181818181818,0,0.036817472698908
" 165695","Sphingobium",0.0856353591160221,0.0105263157894737,0,0,0.000104004160166407
